tt,opt,tree,gap,verdict,t_sec
2005430400,4,4,0,gap0,2.31
3776885835,4,4,0,gap0,1.79
2277734460,4,4,0,gap0,1.80
17302020,5,5,0,gap0,6.30
3085794270,4,4,0,gap0,1.89
2135711583,5,5,0,gap0,6.79
4005291965,5,5,0,gap0,8.50
2075637627,4,4,0,gap0,2.70
1771477350,4,4,0,gap0,1.89
1010615265,5,5,0,gap0,6.80
1721366265,4,4,0,gap0,1.91
504303390,4,4,0,gap0,1.99
16755030,4,4,0,gap0,1.89
1604359020,4,4,0,gap0,1.81
2292755082,4,4,0,gap0,2.32
176726152,5,5,0,gap0,6.80
1432971605,4,4,0,gap0,2.50
1260303585,4,4,0,gap0,1.70
3943961835,4,4,0,gap0,2.00
865481577,4,4,0,gap0,1.99
1010587050,5,5,0,gap0,7.88
1768527465,4,4,0,gap0,1.62
3878403441,6,6,0,gap0,38.52
17564675,5,5,0,gap0,9.20
4294914834,4,4,0,gap0,2.00
1099043880,4,4,0,gap0,2.01
811647120,4,4,0,gap0,2.09
1518075903,4,4,0,gap0,1.92
4042317175,5,5,0,gap0,8.59
3435985583,5,5,0,gap0,5.02
2523294105,4,4,0,gap0,1.48
1778357760,4,4,0,gap0,1.80
3325637580,4,4,0,gap0,1.78
4294933950,4,4,0,gap0,2.33
2219342775,4,4,0,gap0,2.37
906349050,4,4,0,gap0,1.31
339820865,4,4,0,gap0,1.98
3469556535,4,4,0,gap0,2.42
3433417932,5,5,0,gap0,9.98
3195895230,4,4,0,gap0,1.78
1111653954,6,,-1,inconclusive,38.63
3759214080,5,5,0,gap0,13.67
3927250410,4,4,0,gap0,1.69
2523463935,4,4,0,gap0,1.90
2517627120,4,4,0,gap0,1.90
150405375,4,4,0,gap0,2.10
3233857736,4,4,0,gap0,2.50
3024871710,4,4,0,gap0,1.89
4278058750,4,4,0,gap0,2.01
171570489,5,5,0,gap0,6.41
406995480,5,5,0,gap0,6.21
2183659520,4,4,0,gap0,2.10
3325674300,4,4,0,gap0,1.90
506304105,5,5,0,gap0,6.41
1013136531,5,5,0,gap0,5.49
8388608,4,4,0,gap0,2.61
35445,4,4,0,gap0,2.42
3126307701,5,5,0,gap0,8.39
15730422,5,5,0,gap0,8.10
4206804730,4,4,0,gap0,2.21
2529388860,4,4,0,gap0,1.99
3959357440,4,4,0,gap0,1.80
57617,4,4,0,gap0,1.99
4027541910,4,4,0,gap0,2.29
4114216390,4,4,0,gap0,1.71
1767217493,4,4,0,gap0,2.10
3943988610,5,5,0,gap0,9.68
2423218335,4,4,0,gap0,1.99
1091890110,5,5,0,gap0,5.10
10485890,4,4,0,gap0,2.01
1818466713,5,5,0,gap0,8.39
3487495095,5,5,0,gap0,6.78
4194432,4,4,0,gap0,1.80
2527418985,5,5,0,gap0,4.39
38505,4,4,0,gap0,1.81
1504094550,5,5,0,gap0,4.10
3531091335,4,4,0,gap0,1.62
1768515990,4,4,0,gap0,1.50
8552960,4,4,0,gap0,1.88
3375772620,4,4,0,gap0,2.00
219090447,4,4,0,gap0,2.00
4277141503,4,4,0,gap0,1.90
2857740630,4,4,0,gap0,1.78
508277985,5,5,0,gap0,6.61
3622534590,4,4,0,gap0,1.61
4294574079,4,4,0,gap0,2.20
969328185,4,4,0,gap0,1.30
2080374783,4,4,0,gap0,2.11
268510002,4,4,0,gap0,2.40
1022407860,5,5,0,gap0,8.31
1343227137,4,4,0,gap0,2.20
316562010,5,5,0,gap0,12.41
1818465180,5,5,0,gap0,4.89
811978650,4,4,0,gap0,1.30
2532337152,4,4,0,gap0,2.00
2857724310,4,4,0,gap0,1.71
4036389270,5,5,0,gap0,10.49
4284337262,5,5,0,gap0,9.10
18,4,4,0,gap0,2.08
2674908135,5,5,0,gap0,11.19
151586313,4,4,0,gap0,2.60
1103303740,4,4,0,gap0,1.98
2150252565,4,4,0,gap0,2.31
1717611168,4,4,0,gap0,2.39
3426501652,4,4,0,gap0,1.81
857459790,5,5,0,gap0,9.90
16716015,4,4,0,gap0,2.31
2021095287,4,4,0,gap0,1.68
4093643775,4,4,0,gap0,2.10
2533320447,4,4,0,gap0,2.20
2076214335,5,5,0,gap0,5.30
687855615,4,4,0,gap0,2.19
4027576080,5,5,0,gap0,8.01
3426536646,5,5,0,gap0,15.51
2778098010,5,5,0,gap0,5.01
2415921561,4,4,0,gap0,2.11
1208006400,4,4,0,gap0,2.29
4038389820,4,4,0,gap0,2.39
11118848,4,4,0,gap0,2.41
4184864415,5,5,0,gap0,4.71
2183669800,4,4,0,gap0,2.31
2506814220,5,5,0,gap0,6.70
4294928790,4,4,0,gap0,2.39
3836847525,5,5,0,gap0,20.09
1431676505,4,4,0,gap0,1.71
3078299922,6,6,0,gap0,28.60
1785113190,4,4,0,gap0,1.70
965972793,4,4,0,gap0,1.80
4294966767,5,5,0,gap0,6.41
2222710305,5,5,0,gap0,6.00
180748492,4,4,0,gap0,1.91
4035414000,4,4,0,gap0,1.98
1776195105,6,6,0,gap0,23.80
4286293413,5,5,0,gap0,9.41
1260265035,4,4,0,gap0,1.81
3435972300,4,4,0,gap0,2.29
4042719225,4,4,0,gap0,2.00
2523513660,4,4,0,gap0,1.71
1768318569,4,4,0,gap0,1.79
1721354649,5,5,0,gap0,10.21
3191635455,4,4,0,gap0,1.82
311881065,5,5,0,gap0,8.68
863712183,4,4,0,gap0,1.89
4022317055,4,4,0,gap0,1.80
3622567875,4,4,0,gap0,1.99
1266201735,5,5,0,gap0,5.11
1001601851,4,4,0,gap0,1.80
1259305200,5,5,0,gap0,6.61
1768516035,4,4,0,gap0,1.89
2293975163,5,5,0,gap0,6.31
1519802970,4,4,0,gap0,1.81
4277663742,5,5,0,gap0,6.39
