tt,opt,tree,gap,verdict,t_sec
4194303993,4,4,0,gap0,1.90
2573821545,5,5,0,gap0,5.58
256635060,4,4,0,gap0,2.41
150996480,4,4,0,gap0,1.98
2576770665,4,4,0,gap0,1.60
2283980850,4,4,0,gap0,1.99
2778094185,4,4,0,gap0,1.61
4294948731,4,4,0,gap0,2.09
4260557565,4,4,0,gap0,1.99
1821623865,4,4,0,gap0,2.12
3740134878,4,4,0,gap0,1.70
869045865,4,4,0,gap0,1.71
4143577593,4,4,0,gap0,2.10
3195895230,4,4,0,gap0,1.61
117044745,5,5,0,gap0,6.51
1091638340,4,4,0,gap0,1.90
2368153485,5,5,0,gap0,5.62
50025,4,4,0,gap0,1.91
4228098645,5,5,0,gap0,5.50
3328428435,6,6,0,gap0,25.42
1267173195,4,4,0,gap0,2.39
51140185,4,4,0,gap0,1.89
2523479100,4,4,0,gap0,1.71
2523467535,4,4,0,gap0,2.02
1771438335,4,4,0,gap0,1.99
3937320955,4,4,0,gap0,2.29
1270133835,4,4,0,gap0,1.39
1516853910,4,4,0,gap0,2.30
1143231845,6,,-1,inconclusive,50.90
34888,4,4,0,gap0,2.30
3425907404,6,6,0,gap0,25.10
2526436005,5,5,0,gap0,4.48
201351328,5,5,0,gap0,10.40
1721366025,4,4,0,gap0,1.90
2868641791,4,4,0,gap0,2.10
2522524330,4,4,0,gap0,1.99
1019452515,4,4,0,gap0,2.01
3288353792,4,4,0,gap0,1.89
3883811364,6,,-1,inconclusive,46.09
843071538,6,6,0,gap0,24.10
1570939485,4,4,0,gap0,1.81
1448437094,4,4,0,gap0,2.12
1775019264,4,4,0,gap0,1.82
4124401501,4,4,0,gap0,1.88
2527750570,4,4,0,gap0,2.10
2010627006,5,5,0,gap0,11.90
1517856135,4,4,0,gap0,1.99
1369612881,4,4,0,gap0,1.91
1075847232,5,5,0,gap0,7.60
6881430,4,4,0,gap0,1.80
3034675410,4,4,0,gap0,1.99
262521675,5,5,0,gap0,5.99
1499113125,4,4,0,gap0,2.00
2981827003,5,5,0,gap0,6.31
2290649096,4,4,0,gap0,1.98
2778098010,5,5,0,gap0,5.02
1671220428,4,4,0,gap0,2.11
4177921785,4,4,0,gap0,1.91
160456710,5,5,0,gap0,6.29
101266697,6,6,0,gap0,32.70
2105705085,4,4,0,gap0,1.90
6317577,6,6,0,gap0,34.00
252248070,4,4,0,gap0,2.29
1893564450,5,5,0,gap0,7.31
2523513660,4,4,0,gap0,1.62
715314525,4,4,0,gap0,1.89
2846512725,4,4,0,gap0,1.80
1266213330,5,5,0,gap0,6.77
2693988403,4,4,0,gap0,1.89
1769715606,6,6,0,gap0,36.41
63240,4,4,0,gap0,2.70
157288713,5,5,0,gap0,6.51
2526439782,5,5,0,gap0,5.60
3275527785,4,4,0,gap0,1.70
3759145230,5,5,0,gap0,7.70
3459725262,5,5,0,gap0,13.93
2074457946,5,5,0,gap0,8.01
1726126365,5,5,0,gap0,13.71
2523525135,4,4,0,gap0,1.90
3508396590,5,5,0,gap0,7.02
2058004343,5,5,0,gap0,6.30
2623759260,4,4,0,gap0,1.82
3619585515,5,5,0,gap0,5.91
13075,4,4,0,gap0,2.58
1352679375,6,6,0,gap0,31.71
2512415295,4,4,0,gap0,1.48
2576968089,4,4,0,gap0,1.90
1149549435,4,4,0,gap0,2.10
3325687050,4,4,0,gap0,1.89
2265918735,4,4,0,gap0,2.49
1670618220,4,4,0,gap0,1.92
2181070080,4,4,0,gap0,1.89
1872754425,4,4,0,gap0,1.81
2695651155,5,5,0,gap0,6.11
2630667468,4,4,0,gap0,1.90
15947251,5,5,0,gap0,5.80
1958233995,5,5,0,gap0,8.38
1821625395,4,4,0,gap0,1.71
51510,4,4,0,gap0,1.80
3128291295,4,4,0,gap0,2.00
1515873877,5,5,0,gap0,5.60
3275504325,6,6,0,gap0,44.81
4294957035,4,4,0,gap0,2.31
672404520,4,4,0,gap0,1.82
4136695305,5,5,0,gap0,9.61
1768538940,5,5,0,gap0,4.58
106954758,6,6,0,gap0,24.51
1432201809,6,6,0,gap0,38.29
77661188,5,5,0,gap0,5.71
3082289079,4,4,0,gap0,1.69
858993516,4,4,0,gap0,2.00
969721395,4,4,0,gap0,2.12
1721132649,4,4,0,gap0,1.78
1771476630,4,4,0,gap0,1.79
168136800,5,5,0,gap0,7.30
4294928640,4,4,0,gap0,2.01
2522507685,4,4,0,gap0,1.40
151391235,4,4,0,gap0,2.10
3623845375,4,4,0,gap0,1.88
1543372123,6,6,0,gap0,34.78
32832,4,4,0,gap0,1.80
1109688039,6,6,0,gap0,36.80
9437193,4,4,0,gap0,1.90
258578025,5,5,0,gap0,6.71
3773767663,5,5,0,gap0,6.61
1671205740,4,4,0,gap0,1.89
2189967684,4,4,0,gap0,2.00
65536,4,4,0,gap0,2.40
2590665370,4,4,0,gap0,2.49
1158692885,5,5,0,gap0,10.89
3281599590,5,5,0,gap0,4.78
286335249,4,4,0,gap0,1.91
4285530015,4,4,0,gap0,1.90
36870,5,5,0,gap0,9.60
2324310666,4,4,0,gap0,2.90
2623758240,5,5,0,gap0,6.79
4042306800,4,4,0,gap0,1.90
1511957985,4,4,0,gap0,1.80
1694538240,4,4,0,gap0,2.19
33424380,4,4,0,gap0,2.32
4294928895,4,4,0,gap0,2.51
1771477350,4,4,0,gap0,1.68
2331997440,4,4,0,gap0,2.12
4286578655,4,4,0,gap0,1.82
2774466555,6,6,0,gap0,41.98
4294508550,4,4,0,gap0,1.61
2863311531,4,4,0,gap0,1.90
339837480,5,5,0,gap0,4.22
1012225365,5,5,0,gap0,10.00
2142502707,4,4,0,gap0,2.20
679613505,4,4,0,gap0,2.39
2947518255,4,4,0,gap0,2.22
2984538840,5,5,0,gap0,9.19
2416324611,5,5,0,gap0,11.22
863161485,5,5,0,gap0,5.49
3538955535,4,4,0,gap0,1.79
202116105,4,4,0,gap0,2.71
4036366185,4,4,0,gap0,1.80
4286512959,5,5,0,gap0,10.11
859607907,5,5,0,gap0,14.60
28535,6,6,0,gap0,38.69
1520805465,5,5,0,gap0,5.89
1437242730,4,4,0,gap0,1.92
2623784505,5,5,0,gap0,5.81
1419269529,5,5,0,gap0,12.29
3788690145,4,4,0,gap0,1.80
4278233430,4,4,0,gap0,2.00
1091834945,4,4,0,gap0,2.49
2570294844,4,4,0,gap0,1.79
2526636390,4,4,0,gap0,1.61
2154877136,5,5,0,gap0,11.29
706060881,4,4,0,gap0,1.81
1768319337,4,4,0,gap0,1.70
4282449770,5,5,0,gap0,10.91
3034686810,6,6,0,gap0,34.08
1519803045,4,4,0,gap0,1.79
3889945575,5,5,0,gap0,6.21
10376,4,4,0,gap0,1.78
2267904210,4,4,0,gap0,1.72
4027568685,4,4,0,gap0,1.60
545292320,4,4,0,gap0,1.71
2004596667,5,5,0,gap0,6.89
756948525,4,4,0,gap0,1.99
1771488195,4,4,0,gap0,1.79
2861214376,4,4,0,gap0,2.60
3287312880,4,4,0,gap0,1.81
202151274,5,5,0,gap0,7.19
184746763,4,4,0,gap0,2.70
2863280298,5,5,0,gap0,9.50
151652873,4,4,0,gap0,2.21
16711919,4,4,0,gap0,1.90
3152985575,5,5,0,gap0,7.92
2527422810,4,4,0,gap0,1.71
3943961835,4,4,0,gap0,1.91
4087804898,5,5,0,gap0,11.99
672404500,4,4,0,gap0,2.50
1074798720,5,5,0,gap0,7.79
2505677481,5,5,0,gap0,5.80
1504093785,4,4,0,gap0,1.28
1789285989,6,6,0,gap0,30.41
1009264680,4,4,0,gap0,2.41
1074806848,4,4,0,gap0,1.90
2526659532,4,4,0,gap0,1.82
3435973764,4,4,0,gap0,1.91
106991625,5,5,0,gap0,11.09
3975830,4,4,0,gap0,1.91
2946281315,4,4,0,gap0,1.98
3275508660,4,4,0,gap0,1.82
4294941285,4,4,0,gap0,2.29
467937240,5,5,0,gap0,8.49
3432395622,5,5,0,gap0,8.80
4289265410,4,4,0,gap0,2.71
286571454,5,5,0,gap0,8.78
1216645256,4,4,0,gap0,2.31
4007967665,5,5,0,gap0,6.08
1762629135,4,4,0,gap0,2.01
864288840,5,5,0,gap0,8.90
4009680381,4,4,0,gap0,1.98
3198855870,4,4,0,gap0,1.81
1437242985,4,4,0,gap0,1.98
101058822,4,4,0,gap0,1.71
4587724,5,5,0,gap0,5.70
16400,4,4,0,gap0,1.88
2795897087,5,5,0,gap0,5.50
3433388709,5,6,1,gap1,25.90
2529411990,4,4,0,gap0,1.69
3375759360,4,4,0,gap0,1.91
2506779285,4,4,0,gap0,1.49
3958765035,5,5,0,gap0,7.49
2671595,5,5,0,gap0,7.42
4211864580,5,5,0,gap0,5.68
1721132697,4,4,0,gap0,1.70
2533321215,4,4,0,gap0,2.29
13172790,4,4,0,gap0,2.40
4294836219,5,5,0,gap0,5.60
251695104,5,5,0,gap0,11.20
672432705,4,4,0,gap0,1.80
4083023701,5,5,0,gap0,12.32
1216907336,4,4,0,gap0,2.63
1771488060,4,4,0,gap0,1.99
2573838938,4,4,0,gap0,2.11
142608392,4,4,0,gap0,1.78
4294958335,4,4,0,gap0,1.81
1718183526,4,4,0,gap0,1.68
2078169690,4,4,0,gap0,2.11
2063644416,4,4,0,gap0,2.50
3615325655,4,4,0,gap0,1.81
2125978605,6,6,0,gap0,37.60
2863306345,4,4,0,gap0,1.90
61471913,5,5,0,gap0,5.41
1009585950,4,4,0,gap0,2.70
3497058480,4,4,0,gap0,1.79
2113929085,4,4,0,gap0,2.41
4279238413,4,4,0,gap0,2.81
3682524123,5,5,0,gap0,6.82
3754950140,4,4,0,gap0,2.01
1453959510,4,4,0,gap0,1.22
40191,4,4,0,gap0,2.29
3526168335,4,4,0,gap0,2.00
4193711865,4,4,0,gap0,1.90
2790877845,4,4,0,gap0,2.79
3883857519,5,5,0,gap0,13.01
3282720170,5,5,0,gap0,15.80
4033278192,5,5,0,gap0,9.40
573090474,4,4,0,gap0,1.81
1078246320,5,5,0,gap0,12.49
1717986981,5,5,0,gap0,4.70
1523361228,5,5,0,gap0,5.81
803196960,4,4,0,gap0,2.72
2338736025,6,,-1,inconclusive,44.30
3385445427,5,5,0,gap0,5.80
4718847,4,4,0,gap0,2.39
554832417,4,4,0,gap0,1.71
785502510,5,5,0,gap0,3.30
4261486305,5,5,0,gap0,6.69
2526412950,4,4,0,gap0,1.71
34406670,4,4,0,gap0,1.92
2067742587,4,4,0,gap0,2.31
2272800210,4,4,0,gap0,1.90
1432000918,4,4,0,gap0,1.50
4227332091,4,4,0,gap0,1.52
3715575175,4,4,0,gap0,2.20
4272685055,4,4,0,gap0,1.81
304161042,4,4,0,gap0,1.89
201525510,4,4,0,gap0,1.91
2590677567,5,5,0,gap0,6.70
1670628291,4,4,0,gap0,2.09
1019445800,5,5,0,gap0,5.59
